study,design_point_id,workload,scenario_id,tasks_per_run,billing_period_tasks,efficiency_rank_within_design_point,accepted_task_fraction,external_quality_score,policy_violation_fraction,provider_cost_usd_per_task,marginal_cash_cost_usd_per_task,allocated_cash_cost_usd_per_task,economic_loss_usd_per_task,normalized_provider_cost,normalized_cost_per_verified_work,wall_seconds_per_task,normalized_wall_time,human_minutes_per_task,uncached_input_tokens_per_task,cache_read_tokens_per_task,cache_write_tokens_per_task,output_tokens_per_task,tool_schema_tokens_per_task,tool_result_tokens_per_task,model_calls_per_task,tool_calls_per_task,retries_per_task,compactions_per_task,cache_hit_fraction,budget_exhausted_fraction
controlled-harness,central-parallel-analysis,central-parallel-analysis,copilot-cli-copilot-route,4,300,3,0.01625,0.4068405927310084,0.00125,7.247782271117892,7.117983937784559,7.247983937784559,112.9200450949842,7.247782271117892,8.759605248952857,1660.6168650207037,6.919236937586265,20.571233562960558,3293964.4836603887,94187.0,57356.1,7266.755337742452,40433.31,96793.4578442234,19.89125,51.7675,14.09875,0.0075,0.02742610132532902,1.0
controlled-harness,central-parallel-analysis,central-parallel-analysis,pi-cli-copilot-route,4,300,1,0.11375,0.5535920226455798,0.00125,7.438323670984994,7.297812837651661,7.427812837651661,103.27506904512691,7.438323670984994,6.682539103893536,1539.7749690427538,6.41572903767814,18.79837939629389,3358594.548263407,62610.15,38158.2,7296.755337742452,26958.94,103841.94058034821,19.89375,46.41125,8.7425,0.01,0.01816004373981758,1.0
controlled-harness,central-parallel-analysis,central-parallel-analysis,pi-cli-openai-api,4,300,2,0.11375,0.5535920226455798,0.00125,7.438323670984994,7.531146170984994,7.531146170984994,103.37840237846025,7.438323670984994,6.688831415004647,1539.7749690427538,6.41572903767814,18.79837939629389,3358594.548263407,62610.15,38158.2,7296.755337742452,26958.94,103841.94058034821,19.89375,46.41125,8.7425,0.01,0.01816004373981758,0.0
controlled-harness,central-repository-refactor,central-repository-refactor,copilot-cli-copilot-route,4,300,3,0.0,0.02941473877436494,0.00375,15.766569884362152,15.68475655102882,15.81475655102882,167.15322858332183,15.766569884362152,13.372258286665748,2123.5436002933675,5.898732223037132,22.862784685750604,5770480.126782041,151494.6,150206.4,20215.00353336285,117725.85,110021.39253041123,34.76125,75.76,40.25875,1.0,0.02494751656531472,1.0
controlled-harness,central-repository-refactor,central-repository-refactor,pi-cli-copilot-route,4,300,1,0.0,0.3311444214837481,0.00375,15.895134225814763,15.760945892481429,15.890945892481431,166.5683480324511,15.895134225814763,13.325467842596089,2081.133008907502,5.780925024743061,22.77549301908394,5852850.658563823,102495.3,101946.825,20185.00353336285,82395.005,99321.52864786677,34.755,49.5725,14.0675,0.9975,0.01691982808446694,1.0
controlled-harness,central-repository-refactor,central-repository-refactor,pi-cli-openai-api,4,300,2,0.0,0.3311444214837481,0.00375,15.895134225814763,15.994279225814765,15.994279225814765,166.67168136578442,15.895134225814763,13.333734509262756,2081.133008907502,5.780925024743061,22.77549301908394,5852850.658563823,102495.3,101946.825,20185.00353336285,82395.005,99321.52864786677,34.755,49.5725,14.0675,0.9975,0.01691982808446694,0.0
controlled-harness,central-test-debug,central-test-debug,copilot-cli-copilot-route,4,300,1,0.97,0.764220648656719,0.0025,1.304610317465813,1.1084794841324797,1.2384794841324795,6.914787632406521,1.304610317465813,0.06372864468889532,245.43334209903452,1.8180247562891447,2.2337957078539312,608397.867747345,65790.825,16538.275,2775.894122593581,12625.56,19181.234805817447,12.41875,18.60125,2.72875,0.0,0.09607799121995524,0.98125
controlled-harness,central-test-debug,central-test-debug,pi-cli-copilot-route,4,300,2,0.48,0.6486204868363704,0.0025,1.3511318373999563,1.163588504066623,1.293588504066623,39.02627889570659,1.3511318373999563,1.1884967264096213,775.5685768651925,5.7449524212236485,11.068108207853932,640796.5139644167,43730.4,10992.8,2775.894122593581,8417.04,24963.40035050567,12.41875,22.895,7.0225,0.0,0.06342722989364855,0.98625
controlled-harness,central-test-debug,central-test-debug,pi-cli-openai-api,4,300,3,0.48,0.6486204868363704,0.0025,1.3511318373999563,1.3969218373999563,1.3969218373999563,39.12961222903993,1.3511318373999563,1.1909422819651767,775.5685768651925,5.7449524212236485,11.068108207853932,640796.5139644167,43730.4,10992.8,2775.894122593581,8417.04,24963.40035050567,12.41875,22.895,7.0225,0.0,0.06342722989364855,0.0
controlled-harness,challenge-cold-prefix-churn,cold-prefix-churn,copilot-cli-copilot-route,4,300,3,0.0,0.030803082021911427,0.0,16.309362754565303,16.22655692123197,16.35655692123197,167.85746013190376,16.309362754565303,13.428596810552301,2125.130223614547,5.9031395100404085,22.957850276993298,5747629.1073344,9564.6,290335.2,20183.678718102714,116872.45,109377.95662530413,34.4975,75.26375,39.97375,0.9975,0.001580317545938993,1.0
controlled-harness,challenge-cold-prefix-churn,cold-prefix-churn,pi-cli-copilot-route,4,300,1,0.0,0.341857544771532,0.0,16.266744472522042,16.131488639188706,16.261488639188705,167.11579288386477,16.266744472522042,13.369263430709182,2083.8923063348902,5.78858973981914,22.870433610326632,5838379.085278972,6434.925,196786.65,20183.678718102714,81803.575,98297.71306100754,34.49375,49.03875,13.745,0.9975,0.001064365077932848,1.0
controlled-harness,challenge-cold-prefix-churn,cold-prefix-churn,pi-cli-openai-api,4,300,2,0.0,0.341857544771532,0.0,16.266744472522042,16.36482197252204,16.36482197252204,167.21912621719812,16.266744472522042,13.37753009737585,2083.8923063348902,5.78858973981914,22.870433610326632,5838379.085278972,6434.925,196786.65,20183.678718102714,81803.575,98297.71306100754,34.49375,49.03875,13.745,0.9975,0.001064365077932848,0.0
controlled-harness,challenge-copilot-favoring-diverse-tools,copilot-favoring-diverse-tools,copilot-cli-copilot-route,4,300,1,0.0025,0.40162080195052297,0.0025,13.852595090107934,13.735841756774603,13.865841756774604,187.8019103132622,13.852595090107934,14.960738353459705,2161.220511934788,5.145763123654257,24.972208104868482,4957470.088768541,104835.5,162239.0,17045.47226683232,116317.74,134308.41547760917,28.60875,58.29,12.7325,0.85875,0.02007117603143346,1.0
controlled-harness,challenge-copilot-favoring-diverse-tools,copilot-favoring-diverse-tools,pi-cli-copilot-route,4,300,2,0.0,0.13495185446477137,0.0025,13.23410534386894,13.143009510535608,13.273009510535609,187.37599319388715,13.23410534386894,14.990079455510973,2141.042222083905,5.097719576390251,25.059970604868486,4784933.914591876,71641.5375,110677.6875,18485.47226683232,82735.6425,177654.79725560316,28.7275,71.11875,25.56,0.97875,0.01442574413239521,1.0
controlled-harness,challenge-copilot-favoring-diverse-tools,copilot-favoring-diverse-tools,pi-cli-openai-api,4,300,3,0.0,0.13495185446477137,0.0025,13.23410534386894,13.37634284386894,13.37634284386894,187.47932652722048,13.23410534386894,14.998346122177638,2141.042222083905,5.097719576390251,25.059970604868486,4784933.914591876,71641.5375,110677.6875,18485.47226683232,82735.6425,177654.79725560316,28.7275,71.11875,25.56,0.97875,0.01442574413239521,0.0
controlled-harness,challenge-hot-stable-prefix,hot-stable-prefix,copilot-cli-copilot-route,4,300,1,0.96875,0.7629020407193697,0.0025,1.3042518720179408,1.1080085386846075,1.2380085386846076,7.076132974867394,1.3042518720179408,0.06512012406610321,250.03633908453568,1.85212103025582,2.283653534450029,618940.9475869961,71974.775,11179.975,2707.8385703290473,12788.25,19248.620924042152,12.5875,18.545,2.71,0.0,0.10323562199813154,0.98
controlled-harness,challenge-hot-stable-prefix,hot-stable-prefix,pi-cli-copilot-route,4,300,2,0.47875,0.644711029685066,0.0025,1.3600958558638823,1.1725825225305488,1.302582522530549,39.205636999583795,1.3600958558638823,1.1501542007297483,780.2891392574411,5.779919550055119,11.118203534450029,652542.4325099669,47840.8,7431.2,2707.8385703290473,8525.5,25145.727317411238,12.5875,22.91,7.075,0.0,0.06808972937686328,0.98375
controlled-harness,challenge-hot-stable-prefix,hot-stable-prefix,pi-cli-openai-api,4,300,3,0.47875,0.644711029685066,0.0025,1.3600958558638823,1.4059158558638825,1.4059158558638825,39.30897033291713,1.3600958558638823,1.1525446451741928,780.2891392574411,5.779919550055119,11.118203534450029,652542.4325099669,47840.8,7431.2,2707.8385703290473,8525.5,25145.727317411238,12.5875,22.91,7.075,0.0,0.06808972937686328,0.0
controlled-harness,challenge-long-context-threshold,long-context-threshold,copilot-cli-copilot-route,4,300,3,0.0,0.003026951146528431,0.00125,25.50122990698991,25.504346573656576,25.634346573656575,245.39167819945177,25.50122990698991,19.63133425595614,2869.826160711625,3.9858696676550345,28.58966974459993,8659155.707822915,281419.25,161504.0,56052.85680317615,201596.88,204325.44896791223,49.59125,118.225,69.5425,3.49375,0.03093116175554617,1.0
