study,design_group,scenario_id,outcome_name,n,mean,stddev,mcse,min,p05,median,p95,max
controlled-harness,all,copilot-cli-copilot-route,provider_cost_usd_per_task,3200,11.864331419357377,8.355821231252657,0.147711446375032,0.21344492533732526,0.3445319947715124,12.677136488623686,25.96461656243893,28.914515936528755
controlled-harness,all,copilot-cli-copilot-route,retries_per_task,3200,34.628828125,27.106916426114854,0.47918711054907065,0.0,1.5,35.875,77.25,95.5
controlled-harness,all,copilot-cli-copilot-route,tool_calls_per_task,3200,66.99234375,38.983036633607746,0.689129238871691,5.75,9.5,70.5,126.75,158.75
controlled-harness,all,copilot-cli-copilot-route,tool_result_tokens_per_task,3200,114637.25926006566,73103.58435770862,1292.3010057094646,2221.866045311443,4907.088360736293,123008.25854366554,217463.98869911,281451.41309004196
controlled-harness,all,copilot-cli-copilot-route,tool_schema_tokens_per_task,3200,125408.585625,143050.5418712285,2528.800205238895,722.5,1054.0,97975.25,583312.5,692750.0
controlled-harness,all,copilot-cli-copilot-route,uncached_input_tokens_per_task,3200,4294796.801684583,2807577.722664309,49631.43116010543,84230.4228998767,147633.43120349114,4478747.51879749,8897767.067896131,9797076.6516952
controlled-harness,all,copilot-cli-copilot-route,wall_seconds_per_task,3200,1769.3104617169956,937.5303928441004,16.57335245871378,38.41608170854428,115.23423729444208,2001.2507474194606,3061.3172873568133,3890.0424604348545
controlled-harness,all,pi-cli-copilot-route,accepted_task_fraction,3200,0.158046875,0.29671025952668584,0.005245145913973499,0.0,0.0,0.0,1.0,1.0
controlled-harness,all,pi-cli-copilot-route,allocated_cash_cost_usd_per_task,3200,11.748881266339268,8.278180595920055,0.14633894088154914,0.14650000000000002,0.26425904309397896,12.511174388913666,25.717111951393722,28.533672156008357
controlled-harness,all,pi-cli-copilot-route,budget_exhausted_fraction,3200,0.931796875,0.1875727788054036,0.00331584959648263,0.0,0.5,1.0,1.0,1.0
controlled-harness,all,pi-cli-copilot-route,cache_hit_fraction,3200,0.03567320592916397,0.03298061265358255,0.0005830203713758768,0.0,0.0014944615200433607,0.02067235797532943,0.1121116007140363,0.14089717011640926
controlled-harness,all,pi-cli-copilot-route,cache_read_tokens_per_task,3200,90493.1875,65864.42106273698,1164.3294693096846,0.0,9270.0,70070.0,206360.0,267330.0
controlled-harness,all,pi-cli-copilot-route,cache_write_tokens_per_task,3200,90638.4734375,77347.39497050378,1367.321687268937,992.5,4962.5,90315.0,286090.0,422100.0
controlled-harness,all,pi-cli-copilot-route,compactions_per_task,3200,0.964609375,1.163176213356943,0.02056224470448962,0.0,0.0,0.75,3.75,4.0
controlled-harness,all,pi-cli-copilot-route,economic_loss_usd_per_task,3200,147.68988750492733,80.65479068188563,1.4257887356585723,0.27436113416550617,7.1420743964441575,165.93607564347457,253.93686700340345,282.1243592158115
controlled-harness,all,pi-cli-copilot-route,external_quality_score,3200,0.35405120060648315,0.23808935805002748,0.004208864990138159,0.0,0.00602954923245872,0.30963720056437083,0.7260932475303147,0.8101184201282902
controlled-harness,all,pi-cli-copilot-route,human_minutes_per_task,3200,20.47651258627005,8.622050089179059,0.15241775214471473,0.028333333333333332,3.0412227816388664,21.933040707212754,32.94717511593529,45.108966990428385
controlled-harness,all,pi-cli-copilot-route,marginal_cash_cost_usd_per_task,3200,11.618881266339267,8.278180595920055,0.14633894088154914,0.0165,0.13425904309397896,12.381174388913664,25.587111951393723,28.40367215600836
controlled-harness,all,pi-cli-copilot-route,model_calls_per_task,3200,27.304375,13.533645264951687,0.23924330852551368,4.25,6.25,27.25,50.5,54.75
controlled-harness,all,pi-cli-copilot-route,normalized_cost_per_verified_work,3200,11.254230122703223,7.163039654218915,0.12662584783515843,0.0021948890733240493,0.057136595171553256,13.274886051477964,20.314949360272276,22.569948737264923
controlled-harness,all,pi-cli-copilot-route,normalized_provider_cost,3200,11.750014136341655,8.240438171569984,0.14567174277664025,0.2097547062748713,0.34031804401032917,12.466005140822913,25.676051154398376,28.499505489341693
controlled-harness,all,pi-cli-copilot-route,normalized_wall_time,3200,5.073255067894655,1.8723576091499061,0.033098919055903245,0.394443349427095,2.5037283001184587,4.885265141388255,8.115586153969097,15.355955181421924
controlled-harness,all,pi-cli-copilot-route,output_tokens_per_task,3200,18606.103172782518,17575.109484504876,310.6869774147351,1029.2461773153145,1758.4923503723603,15486.18151944159,59510.40662207959,64845.24809965083
controlled-harness,all,pi-cli-copilot-route,policy_violation_fraction,3200,0.001484375,0.019209520950276348,0.00033957956318213646,0.0,0.0,0.0,0.0,0.25
controlled-harness,all,pi-cli-copilot-route,provider_cost_usd_per_task,3200,11.750014136341655,8.240438171569984,0.14567174277664025,0.2097547062748713,0.34031804401032917,12.466005140822913,25.676051154398376,28.499505489341693
controlled-harness,all,pi-cli-copilot-route,retries_per_task,3200,18.7159375,16.850383411889954,0.2978755094035175,1.5,4.25,15.25,71.26249999999993,95.5
controlled-harness,all,pi-cli-copilot-route,tool_calls_per_task,3200,51.081015625,26.625968300392103,0.4706850685216327,5.75,11.25,51.5,105.75,142.5
controlled-harness,all,pi-cli-copilot-route,tool_result_tokens_per_task,3200,113608.05292305977,69901.62879029635,1235.6978933400837,2548.6110519748904,6052.854919491895,115856.39213029775,206838.32094781005,256579.61890049867
controlled-harness,all,pi-cli-copilot-route,tool_schema_tokens_per_task,3200,87954.908125,100940.01811971677,1784.3842826386176,722.5,1054.0,68046.75,410652.0,485452.0
controlled-harness,all,pi-cli-copilot-route,uncached_input_tokens_per_task,3200,4322431.905762903,2809258.2802545577,49661.139501811405,85787.2492745354,150672.96569332958,4497123.342470286,8919953.566808611,9759742.214761352
controlled-harness,all,pi-cli-copilot-route,wall_seconds_per_task,3200,1788.1601269025698,815.2367071460018,14.411485097378234,35.49990144843855,238.01418789500286,1953.7046208940915,2970.775254250194,3789.4138699866253
controlled-harness,all,pi-cli-openai-api,accepted_task_fraction,3200,0.158046875,0.29671025952668584,0.005245145913973499,0.0,0.0,0.0,1.0,1.0
controlled-harness,all,pi-cli-openai-api,allocated_cash_cost_usd_per_task,3200,11.852176167591654,8.278234490887233,0.1463398936189682,0.2322547062748713,0.36759237642731224,12.614507722246998,25.820445284727057,28.637005489341693
controlled-harness,all,pi-cli-openai-api,budget_exhausted_fraction,3200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
controlled-harness,all,pi-cli-openai-api,cache_hit_fraction,3200,0.03567320592916397,0.03298061265358255,0.0005830203713758768,0.0,0.0014944615200433607,0.02067235797532943,0.1121116007140363,0.14089717011640926
controlled-harness,all,pi-cli-openai-api,cache_read_tokens_per_task,3200,90493.1875,65864.42106273698,1164.3294693096846,0.0,9270.0,70070.0,206360.0,267330.0
controlled-harness,all,pi-cli-openai-api,cache_write_tokens_per_task,3200,90638.4734375,77347.39497050378,1367.321687268937,992.5,4962.5,90315.0,286090.0,422100.0
controlled-harness,all,pi-cli-openai-api,compactions_per_task,3200,0.964609375,1.163176213356943,0.02056224470448962,0.0,0.0,0.75,3.75,4.0
controlled-harness,all,pi-cli-openai-api,economic_loss_usd_per_task,3200,147.79318240617968,80.65484985755717,1.425789781746538,0.3776944674988395,7.245407729777491,166.03940897680792,254.04020033673677,282.2276925491449
controlled-harness,all,pi-cli-openai-api,external_quality_score,3200,0.35405120060648315,0.23808935805002748,0.004208864990138159,0.0,0.00602954923245872,0.30963720056437083,0.7260932475303147,0.8101184201282902
controlled-harness,all,pi-cli-openai-api,human_minutes_per_task,3200,20.47651258627005,8.622050089179059,0.15241775214471473,0.028333333333333332,3.0412227816388664,21.933040707212754,32.94717511593529,45.108966990428385
controlled-harness,all,pi-cli-openai-api,marginal_cash_cost_usd_per_task,3200,11.852176167591654,8.278234490887233,0.1463398936189682,0.2322547062748713,0.36759237642731224,12.614507722246998,25.820445284727057,28.637005489341693
controlled-harness,all,pi-cli-openai-api,model_calls_per_task,3200,27.304375,13.533645264951687,0.23924330852551368,4.25,6.25,27.25,50.5,54.75
controlled-harness,all,pi-cli-openai-api,normalized_cost_per_verified_work,3200,11.26074737692601,7.165601485438463,0.12667113504084837,0.003021555739990716,0.057963261838219926,13.283152718144631,20.32321602693894,22.57821540393159
controlled-harness,all,pi-cli-openai-api,normalized_provider_cost,3200,11.750014136341655,8.240438171569984,0.14567174277664025,0.2097547062748713,0.34031804401032917,12.466005140822913,25.676051154398376,28.499505489341693
controlled-harness,all,pi-cli-openai-api,normalized_wall_time,3200,5.073255067894655,1.8723576091499061,0.033098919055903245,0.394443349427095,2.5037283001184587,4.885265141388255,8.115586153969097,15.355955181421924
controlled-harness,all,pi-cli-openai-api,output_tokens_per_task,3200,18606.103172782518,17575.109484504876,310.6869774147351,1029.2461773153145,1758.4923503723603,15486.18151944159,59510.40662207959,64845.24809965083
controlled-harness,all,pi-cli-openai-api,policy_violation_fraction,3200,0.001484375,0.019209520950276348,0.00033957956318213646,0.0,0.0,0.0,0.0,0.25
controlled-harness,all,pi-cli-openai-api,provider_cost_usd_per_task,3200,11.750014136341655,8.240438171569984,0.14567174277664025,0.2097547062748713,0.34031804401032917,12.466005140822913,25.676051154398376,28.499505489341693
controlled-harness,all,pi-cli-openai-api,retries_per_task,3200,18.7159375,16.850383411889954,0.2978755094035175,1.5,4.25,15.25,71.26249999999993,95.5
controlled-harness,all,pi-cli-openai-api,tool_calls_per_task,3200,51.081015625,26.625968300392103,0.4706850685216327,5.75,11.25,51.5,105.75,142.5
controlled-harness,all,pi-cli-openai-api,tool_result_tokens_per_task,3200,113608.05292305977,69901.62879029635,1235.6978933400837,2548.6110519748904,6052.854919491895,115856.39213029775,206838.32094781005,256579.61890049867
controlled-harness,all,pi-cli-openai-api,tool_schema_tokens_per_task,3200,87954.908125,100940.01811971677,1784.3842826386176,722.5,1054.0,68046.75,410652.0,485452.0
