trajectory_id,model,strategy_id,source_contrast_id,source_scenario_id,source_role,main_call_count,compaction_count,compaction_positions_json,prompt_sequence_tokens_json,minimum_prompt_tokens,mean_prompt_tokens,maximum_prompt_tokens,provider_cost_per_attempt_usd,onset_tokens,excess_token_call_area,normalized_excess_auc,normalization_formula,source_type
luna-cap_200k_cache_write-o200000,luna,cap_200k_cache_write,compaction-input-cache-write-sensitivity,compaction-input-cache-write-sensitivity-luna-comparison,comparison,39,4,"[9,18,27,36]","[40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000]",40000,115384.615384615,200000,0.6352,200000,0,0,"sum(max(prompt_i-onset,0))/(100000*main_call_count)",simulated
luna-cap_200k_cache_write-o400000,luna,cap_200k_cache_write,compaction-input-cache-write-sensitivity,compaction-input-cache-write-sensitivity-luna-comparison,comparison,39,4,"[9,18,27,36]","[40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000]",40000,115384.615384615,200000,0.6352,400000,0,0,"sum(max(prompt_i-onset,0))/(100000*main_call_count)",simulated
luna-cap_200k_cache_write-o600000,luna,cap_200k_cache_write,compaction-input-cache-write-sensitivity,compaction-input-cache-write-sensitivity-luna-comparison,comparison,39,4,"[9,18,27,36]","[40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000]",40000,115384.615384615,200000,0.6352,600000,0,0,"sum(max(prompt_i-onset,0))/(100000*main_call_count)",simulated
luna-cap_pricing_threshold_uncached-o268p617647,luna,cap_pricing_threshold_uncached,long-cap-pricing-threshold-uncached,long-cap-pricing-threshold-uncached-luna-comparison,comparison,39,4,"[9,18,27,36]","[40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000]",40000,115384.615384615,200000,0.5952,268.617647,4489523.911767,1.15115997737615,"sum(max(prompt_i-onset,0))/(100000*main_call_count)",simulated
luna-cap_pricing_threshold_uncached-o1000,luna,cap_pricing_threshold_uncached,long-cap-pricing-threshold-uncached,long-cap-pricing-threshold-uncached-luna-comparison,comparison,39,4,"[9,18,27,36]","[40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000]",40000,115384.615384615,200000,0.5952,1000,4461000,1.14384615384615,"sum(max(prompt_i-onset,0))/(100000*main_call_count)",simulated
luna-cap_pricing_threshold_uncached-o4000,luna,cap_pricing_threshold_uncached,long-cap-pricing-threshold-uncached,long-cap-pricing-threshold-uncached-luna-comparison,comparison,39,4,"[9,18,27,36]","[40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000]",40000,115384.615384615,200000,0.5952,4000,4344000,1.11384615384615,"sum(max(prompt_i-onset,0))/(100000*main_call_count)",simulated
luna-cap_pricing_threshold_uncached-o16000,luna,cap_pricing_threshold_uncached,long-cap-pricing-threshold-uncached,long-cap-pricing-threshold-uncached-luna-comparison,comparison,39,4,"[9,18,27,36]","[40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000]",40000,115384.615384615,200000,0.5952,16000,3876000,0.993846153846154,"sum(max(prompt_i-onset,0))/(100000*main_call_count)",simulated
luna-cap_pricing_threshold_uncached-o32000,luna,cap_pricing_threshold_uncached,long-cap-pricing-threshold-uncached,long-cap-pricing-threshold-uncached-luna-comparison,comparison,39,4,"[9,18,27,36]","[40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000]",40000,115384.615384615,200000,0.5952,32000,3252000,0.833846153846154,"sum(max(prompt_i-onset,0))/(100000*main_call_count)",simulated
luna-cap_pricing_threshold_uncached-o113000,luna,cap_pricing_threshold_uncached,long-cap-pricing-threshold-uncached,long-cap-pricing-threshold-uncached-luna-comparison,comparison,39,4,"[9,18,27,36]","[40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000]",40000,115384.615384615,200000,0.5952,113000,940000,0.241025641025641,"sum(max(prompt_i-onset,0))/(100000*main_call_count)",simulated
luna-cap_pricing_threshold_uncached-o200000,luna,cap_pricing_threshold_uncached,long-cap-pricing-threshold-uncached,long-cap-pricing-threshold-uncached-luna-comparison,comparison,39,4,"[9,18,27,36]","[40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000,100000,120000,140000,160000,180000,200000,40000,60000,80000]",40000,115384.615384615,200000,0.5952,200000,0,0,"sum(max(prompt_i-onset,0))/(100000*main_call_count)",simulated
