contrast_id,study_family,scenario_id,role,model,changed_parameter,changed_value,provider_cost_usd,ai_credits,call_count,main_call_count,tool_calls,compactions,long_context_calls,max_input_tokens,input_uncached_tokens,cache_read_tokens,cache_write_tokens,output_tokens,input_uncached_cost_usd,cache_read_cost_usd,cache_write_cost_usd,output_cost_usd,discarded_context_tokens,tool_result_tokens_generated,tool_result_tokens_injected,parameters_json,interpretation
dynamic-system-10-calls,system_prompt,dynamic-system-10-calls-sol-comparison,comparison,sol,system_prompt_tokens,5000,0.6956,69.56,10,10,0,0,0,51000,50000,414000,46000,5000,0.2,0.1656,0.23,0.1,0,0,0,"{""model_calls"":10,""other_prompt_tokens"":46000,""output_tokens_per_call"":500,""system_cache_mode"":""dynamic"",""system_prompt_tokens"":5000}","Marginal cost of 1,000 system tokens when that segment misses the cache on every one of ten calls."
system-threshold-cold,threshold_discontinuity,system-threshold-cold-luna-baseline,baseline,luna,system_prompt_tokens,4000,0.051075,5.1075,1,1,0,0,0,199500,0,0,199500,1000,0.0,0.0,0.049875,0.0012,0,0,0,"{""cache_state"":""cold"",""output_tokens_per_call"":1000,""system_prompt_tokens"":4000}","The 1,000-token prompt increase moves total input from 500 tokens below to 500 tokens above this model's Copilot long-context threshold, with a cold prefix."
system-threshold-cold,threshold_discontinuity,system-threshold-cold-luna-comparison,comparison,luna,system_prompt_tokens,5000,0.10205,10.205,1,1,0,0,1,200500,0,0,200500,1000,0.0,0.0,0.10025,0.0018,0,0,0,"{""cache_state"":""cold"",""output_tokens_per_call"":1000,""system_prompt_tokens"":5000}","The 1,000-token prompt increase moves total input from 500 tokens below to 500 tokens above this model's Copilot long-context threshold, with a cold prefix."
system-threshold-cold,threshold_discontinuity,system-threshold-cold-terra-baseline,baseline,terra,system_prompt_tokens,4000,0.69075,69.075,1,1,0,0,0,271500,0,0,271500,1000,0.0,0.0,0.67875,0.012,0,0,0,"{""cache_state"":""cold"",""output_tokens_per_call"":1000,""system_prompt_tokens"":4000}","The 1,000-token prompt increase moves total input from 500 tokens below to 500 tokens above this model's Copilot long-context threshold, with a cold prefix."
system-threshold-cold,threshold_discontinuity,system-threshold-cold-terra-comparison,comparison,terra,system_prompt_tokens,5000,1.3805,138.05,1,1,0,0,1,272500,0,0,272500,1000,0.0,0.0,1.3625,0.018,0,0,0,"{""cache_state"":""cold"",""output_tokens_per_call"":1000,""system_prompt_tokens"":5000}","The 1,000-token prompt increase moves total input from 500 tokens below to 500 tokens above this model's Copilot long-context threshold, with a cold prefix."
system-threshold-cold,threshold_discontinuity,system-threshold-cold-sol-baseline,baseline,sol,system_prompt_tokens,4000,1.3775,137.75,1,1,0,0,0,271500,0,0,271500,1000,0.0,0.0,1.3575,0.02,0,0,0,"{""cache_state"":""cold"",""output_tokens_per_call"":1000,""system_prompt_tokens"":4000}","The 1,000-token prompt increase moves total input from 500 tokens below to 500 tokens above this model's Copilot long-context threshold, with a cold prefix."
system-threshold-cold,threshold_discontinuity,system-threshold-cold-sol-comparison,comparison,sol,system_prompt_tokens,5000,2.755,275.5,1,1,0,0,1,272500,0,0,272500,1000,0.0,0.0,2.725,0.03,0,0,0,"{""cache_state"":""cold"",""output_tokens_per_call"":1000,""system_prompt_tokens"":5000}","The 1,000-token prompt increase moves total input from 500 tokens below to 500 tokens above this model's Copilot long-context threshold, with a cold prefix."
system-threshold-warm,threshold_discontinuity,system-threshold-warm-luna-baseline,baseline,luna,system_prompt_tokens,4000,0.00519,0.519,1,1,0,0,0,199500,0,199500,0,1000,0.0,0.00399,0.0,0.0012,0,0,0,"{""cache_state"":""warm"",""output_tokens_per_call"":1000,""system_prompt_tokens"":4000}","The 1,000-token prompt increase moves total input from 500 tokens below to 500 tokens above this model's Copilot long-context threshold, with a warm prefix."
system-threshold-warm,threshold_discontinuity,system-threshold-warm-luna-comparison,comparison,luna,system_prompt_tokens,5000,0.00982,0.982,1,1,0,0,1,200500,0,200500,0,1000,0.0,0.00802,0.0,0.0018,0,0,0,"{""cache_state"":""warm"",""output_tokens_per_call"":1000,""system_prompt_tokens"":5000}","The 1,000-token prompt increase moves total input from 500 tokens below to 500 tokens above this model's Copilot long-context threshold, with a warm prefix."
system-threshold-warm,threshold_discontinuity,system-threshold-warm-terra-baseline,baseline,terra,system_prompt_tokens,4000,0.0663,6.63,1,1,0,0,0,271500,0,271500,0,1000,0.0,0.0543,0.0,0.012,0,0,0,"{""cache_state"":""warm"",""output_tokens_per_call"":1000,""system_prompt_tokens"":4000}","The 1,000-token prompt increase moves total input from 500 tokens below to 500 tokens above this model's Copilot long-context threshold, with a warm prefix."
system-threshold-warm,threshold_discontinuity,system-threshold-warm-terra-comparison,comparison,terra,system_prompt_tokens,5000,0.127,12.7,1,1,0,0,1,272500,0,272500,0,1000,0.0,0.109,0.0,0.018,0,0,0,"{""cache_state"":""warm"",""output_tokens_per_call"":1000,""system_prompt_tokens"":5000}","The 1,000-token prompt increase moves total input from 500 tokens below to 500 tokens above this model's Copilot long-context threshold, with a warm prefix."
system-threshold-warm,threshold_discontinuity,system-threshold-warm-sol-baseline,baseline,sol,system_prompt_tokens,4000,0.1286,12.86,1,1,0,0,0,271500,0,271500,0,1000,0.0,0.1086,0.0,0.02,0,0,0,"{""cache_state"":""warm"",""output_tokens_per_call"":1000,""system_prompt_tokens"":4000}","The 1,000-token prompt increase moves total input from 500 tokens below to 500 tokens above this model's Copilot long-context threshold, with a warm prefix."
