contrast_id,study_family,model,volume_executions,baseline_provider_cost_usd,comparison_provider_cost_usd,cost_delta_usd,savings_usd,baseline_ai_credits,comparison_ai_credits,ai_credit_delta
long-cap-200k-uncached,long_session,terra,1000000,9904000.0,5952000.0,-3952000.0,3952000.0,990400000.0,595200000.0,-395200000.0
long-cap-200k-uncached,long_session,sol,1000,19598.0,11428.0,-8170.0,8170.0,1959800.0,1142800.0,-817000.0
long-cap-200k-uncached,long_session,sol,1000000,19598000.0,11428000.0,-8170000.0,8170000.0,1959800000.0,1142800000.0,-817000000.0
long-cap-pricing-threshold-uncached,long_session,luna,1000,1020.4,595.2,-425.2,425.2,102040.0,59520.0,-42519.99999999999
long-cap-pricing-threshold-uncached,long_session,luna,1000000,1020400.0,595200.0,-425200.0,425200.0,102040000.0,59520000.0,-42520000.0
long-cap-pricing-threshold-uncached,long_session,terra,1000,9904.0,5842.0,-4062.0,4062.0,990400.0,584200.0,-406200.0
long-cap-pricing-threshold-uncached,long_session,terra,1000000,9904000.0,5842000.0,-4062000.0,4062000.0,990400000.0,584200000.0,-406200000.0
long-cap-pricing-threshold-uncached,long_session,sol,1000,19598.0,11288.0,-8310.0,8310.0,1959800.0,1128800.0,-831000.0
long-cap-pricing-threshold-uncached,long_session,sol,1000000,19598000.0,11288000.0,-8310000.0,8310000.0,1959800000.0,1128800000.0,-831000000.0
compaction-input-cache-read-sensitivity,compaction_sensitivity,luna,1000,595.2,451.2,-144.0,144.0,59520.0,45120.0,-14400.000000000005
compaction-input-cache-read-sensitivity,compaction_sensitivity,luna,1000000,595200.0,451200.0,-144000.0,144000.0,59520000.0,45120000.0,-14400000.0
compaction-input-cache-read-sensitivity,compaction_sensitivity,terra,1000,5952.0,4512.0,-1440.0,1440.0,595200.0,451200.0,-144000.0
compaction-input-cache-read-sensitivity,compaction_sensitivity,terra,1000000,5952000.0,4512000.0,-1440000.0,1440000.0,595200000.0,451200000.0,-144000000.0
compaction-input-cache-read-sensitivity,compaction_sensitivity,sol,1000,11428.0,8548.0,-2880.0,2880.0,1142800.0,854800.0,-288000.0
compaction-input-cache-read-sensitivity,compaction_sensitivity,sol,1000000,11428000.0,8548000.0,-2880000.0,2880000.0,1142800000.0,854800000.0,-288000000.0
compaction-input-cache-write-sensitivity,compaction_sensitivity,luna,1000,595.2,635.2,40.0,-40.0,59520.0,63520.0,4000.0
compaction-input-cache-write-sensitivity,compaction_sensitivity,luna,1000000,595200.0,635200.0,40000.0,-40000.0,59520000.0,63520000.0,4000000.0
compaction-input-cache-write-sensitivity,compaction_sensitivity,terra,1000,5952.0,6352.0,400.0,-400.0,595200.0,635200.0,40000.0
compaction-input-cache-write-sensitivity,compaction_sensitivity,terra,1000000,5952000.0,6352000.0,400000.0,-400000.0,595200000.0,635200000.0,40000000.0
compaction-input-cache-write-sensitivity,compaction_sensitivity,sol,1000,11428.0,12228.0,800.0,-800.0,1142800.0,1222800.0,80000.0
compaction-input-cache-write-sensitivity,compaction_sensitivity,sol,1000000,11428000.0,12228000.0,800000.0,-800000.0,1142800000.0,1222800000.0,80000000.0
compaction-retained-system-sensitivity,compaction_sensitivity,luna,1000,595.2,576.8,-18.4,18.4,59520.0,57679.99999999999,-1840.000000000009
compaction-retained-system-sensitivity,compaction_sensitivity,luna,1000000,595200.0,576800.0,-18400.0,18400.0,59520000.0,57680000.0,-1840000.0
compaction-retained-system-sensitivity,compaction_sensitivity,terra,1000,5952.0,5768.0,-184.0,184.0,595200.0,576800.0,-18400.0
compaction-retained-system-sensitivity,compaction_sensitivity,terra,1000000,5952000.0,5768000.0,-184000.0,184000.0,595200000.0,576800000.0,-18400000.0
compaction-retained-system-sensitivity,compaction_sensitivity,sol,1000,11428.0,11060.0,-368.0,368.0,1142800.0,1106000.0,-36800.0
compaction-retained-system-sensitivity,compaction_sensitivity,sol,1000000,11428000.0,11060000.0,-368000.0,368000.0,1142800000.0,1106000000.0,-36800000.0
